time,value
0,20
0.5,20.27
1.012,20.46
1.542,20.740000000000002
2.075,20.990000000000002
2.576,21.310000000000002
3.1020000000000003,21.480000000000004
3.6260000000000003,21.750000000000004
4.151000000000001,22.080000000000002
4.689000000000001,22.400000000000002
5.194000000000001,22.67
5.713000000000001,22.96
6.229000000000001,23.17
6.744000000000001,23.48
7.260000000000001,23.72
7.798000000000001,23.93
8.329,24.1
8.832,24.240000000000002
9.350000000000001,24.39
9.867,24.63
10.385000000000002,24.89
10.902000000000001,25.05
11.405000000000001,25.36
11.918000000000001,25.56
12.434000000000001,25.72
12.948,26.02
13.451,26.259999999999998
13.965,26.58
14.501,26.869999999999997
15.009,27.06
15.517,27.29
16.028,27.5
16.558999999999997,27.67
17.070999999999998,28.0
17.578999999999997,28.27
18.101999999999997,28.43
18.627999999999997,28.73
19.150999999999996,28.98
19.681999999999995,29.31
20.190999999999995,29.61
20.703999999999997,29.77
21.220999999999997,29.9
21.721999999999998,30.189999999999998
22.244999999999997,30.419999999999998
22.763999999999996,30.58
23.275999999999996,30.889999999999997
23.792999999999996,31.069999999999997
24.302999999999997,31.24
24.822999999999997,31.419999999999998
25.323999999999998,31.63
25.857,31.91
26.368,32.21
26.897,32.39
27.397,32.68
27.897,33.01
28.435,33.199999999999996
28.948999999999998,33.37
29.47,33.559999999999995
29.974,33.81999999999999
30.512,34.07999999999999
31.031,34.35999999999999
31.544,34.60999999999999
32.071,34.76999999999999
32.6,35.02999999999999
33.115,35.249999999999986
33.64,35.54999999999998
34.168,35.76999999999998
34.678,35.98999999999998
35.204,36.259999999999984
35.723,36.41999999999998
36.247,36.69999999999998
36.76,36.91999999999998
37.278999999999996,37.13999999999998
37.800999999999995,37.28999999999998
38.303,37.52999999999998
38.806999999999995,37.69999999999998
39.343999999999994,37.85999999999998
39.852999999999994,38.089999999999975
40.367999999999995,38.239999999999974
40.900999999999996,38.46999999999997
41.400999999999996,38.66999999999997
41.91,38.95999999999997
42.416999999999994,39.229999999999976
42.925,39.379999999999974
43.446999999999996,39.589999999999975
43.964,39.81999999999997
44.503,40.019999999999975
45.041,40.28999999999998
45.565,40.48999999999998
46.083,40.61999999999998
46.596,40.80999999999998
47.125,40.93999999999998
47.637,41.12999999999998
48.155,41.38999999999998
48.674,41.57999999999998
49.189,41.74999999999998
49.704,42.06999999999998
50.238,42.25999999999998
50.769,42.519999999999975
51.283,42.809999999999974
51.795,43.06999999999997
52.333,43.27999999999997
52.87,43.559999999999974
53.382,43.809999999999974
53.884,44.00999999999998
54.413000000000004,44.20999999999998
54.953,44.45999999999998
55.469,44.58999999999998
55.984,44.81999999999998
56.491,45.02999999999998
57.028,45.31999999999998
57.55,45.57999999999998
58.084999999999994,45.89999999999998
58.602,46.229999999999976
59.131,46.409999999999975
59.666,46.66999999999997
60.172,46.839999999999975
60.699,47.059999999999974
61.217,47.309999999999974
61.737,47.479999999999976
62.267,47.799999999999976
62.784000000000006,48.09999999999997
63.32300000000001,48.369999999999976
63.851000000000006,48.66999999999997
64.381,48.85999999999997
64.901,49.18999999999997
65.405,49.50999999999997
65.912,49.81999999999997
66.45100000000001,50.089999999999975
66.98800000000001,50.369999999999976
67.49800000000002,50.52999999999997
68.03000000000002,50.70999999999997
68.56900000000002,50.99999999999997
69.09100000000002,51.25999999999997
69.62200000000003,51.51999999999997
70.14300000000003,51.749999999999964
70.66200000000003,51.999999999999964
71.17400000000004,52.209999999999965
71.70100000000004,52.47999999999997
72.23400000000004,52.71999999999997
72.73600000000003,52.989999999999974
73.24100000000003,53.119999999999976
73.77000000000002,53.339999999999975
74.27700000000003,53.59999999999997
74.81200000000003,53.879999999999974
75.33000000000003,54.06999999999997
75.84100000000002,54.35999999999997
76.38000000000002,54.629999999999974
76.91000000000003,54.95999999999997
77.44500000000002,55.229999999999976
77.97600000000003,55.549999999999976
78.48700000000002,55.77999999999997
79.00200000000002,56.00999999999997
79.53200000000002,56.28999999999997
80.04100000000003,56.58999999999997
80.54500000000003,56.889999999999965
81.06200000000003,57.12999999999997
81.59800000000003,57.26999999999997
82.11900000000003,57.55999999999997
82.64200000000002,57.69999999999997
83.17900000000003,57.919999999999966
83.68200000000003,58.14999999999996
84.21400000000003,58.33999999999996
84.75200000000002,58.48999999999996
85.27700000000003,58.63999999999996
85.80300000000003,58.78999999999996
86.31800000000003,58.91999999999996
86.83300000000003,59.24999999999996
87.35100000000003,59.55999999999996
87.87000000000003,59.77999999999996
88.38200000000003,59.99999999999996
88.89900000000003,60.23999999999996
89.42400000000004,60.40999999999996
89.95600000000003,60.58999999999996
90.49600000000004,60.80999999999996
91.00300000000004,61.01999999999996
91.54200000000004,61.27999999999996
92.06100000000005,61.579999999999956
92.58600000000006,61.80999999999995
93.10800000000006,62.079999999999956
93.63400000000006,62.369999999999955
94.16800000000006,62.67999999999996
94.67000000000006,63.009999999999955
95.19100000000006,63.159999999999954
95.71000000000006,63.44999999999995
96.24000000000007,63.66999999999995
96.74800000000006,63.979999999999954
97.25500000000007,64.24999999999996
97.79200000000007,64.50999999999996
98.31100000000008,64.77999999999996
98.81600000000007,64.95999999999997
99.32900000000008,65.12999999999997
99.84500000000008,65.35999999999997
100.34700000000008,65.56999999999996
